2018-02-07 18:02:16,112 [INFO] __main__: Logging configuration of the file
2018-02-07 18:02:16,113 [INFO] __main__: LOGGING_CONFIG
2018-02-07 18:02:16,115 [INFO] generate_init: Initializing old configuration for grid and agents
2018-02-07 18:02:16,116 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 1, capacity 0.133091806233, view_radius 0.581338223046, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,116 [INFO] src.agent_originaltypes: Created an agent with location [8 9], type 0, capacity 0.423565006361, view_radius 0.478718258655, view_angle 0.796484882694 in standard ranges
2018-02-07 18:02:16,117 [INFO] src.agent_originaltypes: Created an agent with location [1 3], type 1, capacity 0.305146569617, view_radius 0.44294706398, view_angle 0.383007703068 in standard ranges
2018-02-07 18:02:16,218 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 19
2018-02-07 18:02:16,218 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-02-07 18:02:16,219 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.1, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,219 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.131034482759, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,220 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.162068965517, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,220 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.193103448276, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,220 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.224137931034, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,220 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.255172413793, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,220 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.286206896552, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,221 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.31724137931, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,221 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.348275862069, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,221 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.379310344828, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,222 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.410344827586, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,222 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.441379310345, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,222 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.472413793103, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,222 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.503448275862, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,223 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.534482758621, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,223 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.565517241379, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,223 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.596551724138, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,224 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.627586206897, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,224 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.658620689655, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,224 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.689655172414, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,224 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.720689655172, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,225 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.751724137931, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,225 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.78275862069, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,225 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.813793103448, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,225 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.844827586207, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,226 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.875862068966, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,226 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.906896551724, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,226 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.937931034483, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,226 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 0.968965517241, view_angle 0.747874424347 in standard ranges
2018-02-07 18:02:16,227 [INFO] src.agent_originaltypes: Created an agent with location [1 8], type 0, capacity 0.133091806233, view_radius 1.0, view_angle 0.747874424347 in standard ranges
